Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
181,Quincy Miller,2012,38.00,80.75,82.00,85.25,105.00,36.00,141.00,30.50,135.50,219.00,7.80,9.25,10.25,11.05,3.48
182,Khris Middleton,2012,39.00,78.75,80.25,82.75,103.00,31.00,134.00,28.00,131.00,216.00,7.80,9.00,9.00,11.45,3.47
183,Dion Waiters,2012,4.00,74.50,76.00,79.25,98.00,35.50,138.17,29.58,132.62,221.00,8.50,8.50,9.50,11.33,3.30
184,Will Barton,2012,40.00,77.00,78.00,81.75,102.50,34.00,136.50,30.00,132.50,174.00,4.10,9.00,9.50,12.50,3.60
185,Tyshawn Taylor,2012,41.00,74.75,76.00,78.25,97.50,36.50,134.00,32.00,129.50,177.00,4.20,8.75,8.75,11.48,3.20
186,Doron Lamb,2012,42.00,75.25,76.75,78.75,98.50,33.50,132.00,29.00,127.50,199.00,6.70,8.50,8.75,11.12,3.41
187,Mike Scott,2012,43.00,79.25,80.75,82.75,104.00,32.50,136.50,27.00,131.00,241.00,10.60,8.50,9.00,11.59,3.44
188,Kim English,2012,44.00,76.50,77.75,78.50,98.00,36.50,134.50,29.00,127.00,192.00,4.30,8.50,8.75,10.59,3.33
189,Darius Miller,2012,46.00,78.00,79.50,81.00,101.00,37.00,138.00,33.00,134.00,233.00,7.50,8.50,8.75,11.34,3.31
190,Kevin Murphy,2012,47.00,77.00,78.25,78.75,99.00,36.50,135.50,31.00,130.00,194.00,5.80,8.50,8.50,10.97,3.42
191,Kyle O'Quinn,2012,49.00,80.50,82.00,88.75,106.50,31.50,138.00,31.50,138.00,241.00,8.00,9.50,10.00,11.65,3.53
192,Thomas Robinson,2012,5.00,79.75,80.75,87.25,106.00,35.50,141.50,28.50,134.50,244.00,5.00,9.75,10.50,11.96,3.17
193,Kris Joseph,2012,51.00,78.00,79.00,83.00,104.00,35.00,139.00,28.50,132.50,215.00,8.60,9.00,9.00,11.33,3.46
194,Darius Johnson-Odom,2012,55.00,73.50,75.00,79.00,96.00,41.50,137.50,33.50,129.50,212.00,7.00,8.75,8.75,10.76,3.21
195,Robbie Hummel,2012,58.00,79.25,80.50,80.50,102.00,30.00,132.00,27.50,129.50,218.00,9.40,8.50,9.50,11.56,3.41
196,Marcus Denmon,2012,59.00,74.25,75.25,77.00,94.50,40.00,134.50,33.50,128.00,188.00,6.60,8.25,9.75,10.82,3.19
197,Damian Lillard,2012,6.00,73.75,74.75,79.75,95.50,39.50,135.00,34.50,130.00,189.00,5.90,8.75,9.75,11.15,3.34
198,Harrison Barnes,2012,7.00,79.00,80.00,83.25,101.50,39.50,141.00,38.00,139.50,228.00,9.60,9.00,8.50,10.93,3.16
199,Terrence Ross,2012,8.00,78.00,79.00,79.25,100.50,37.50,138.00,31.00,131.50,197.00,3.20,8.75,10.25,11.78,3.28
200,Andre Drummond,2012,9.00,81.75,83.75,90.25,109.50,33.50,143.00,31.50,141.00,279.00,7.50,9.50,9.50,10.83,3.39
201,Drew Gordon,2012,28.49,80.00,80.75,83.50,103.50,34.00,137.50,29.00,132.50,239.00,9.10,8.50,9.75,11.35,3.49
202,Henry Sims,2012,28.49,82.00,83.75,88.00,108.00,29.50,137.50,26.50,134.50,241.00,7.70,9.25,10.00,12.33,3.44
203,Hollis Thompson,2012,28.49,78.75,80.00,81.50,102.50,36.50,139.00,28.50,131.00,206.00,6.00,8.25,9.75,11.72,3.38
204,J'Covan Brown,2012,28.49,73.00,74.25,77.25,96.00,29.50,125.50,26.00,122.00,202.00,12.50,7.75,8.25,11.68,3.47
205,JaMychal Green,2012,28.49,80.00,81.00,86.25,106.50,32.50,139.00,29.50,136.00,217.00,9.80,9.25,9.25,10.63,3.38
206,Jordan Taylor,2012,28.49,73.00,74.00,75.00,92.50,36.50,129.00,33.00,125.50,193.00,5.50,8.25,9.50,10.57,3.19
207,Kevin Jones,2012,28.49,78.25,79.50,85.50,105.00,32.50,137.50,27.50,132.50,251.00,11.20,9.00,7.75,11.94,3.60
208,Scott Machado,2012,28.49,73.00,74.00,76.00,94.50,32.50,127.00,27.00,121.50,206.00,5.80,8.50,9.50,11.26,3.30
209,Tony Mitchell (Alabama),2012,28.49,77.25,78.25,82.00,100.00,40.00,140.00,31.50,131.50,216.00,5.70,8.50,10.00,11.72,3.47
210,Tu Holloway,2012,28.49,70.50,71.75,77.50,94.50,35.00,129.50,28.00,122.50,187.00,8.50,8.75,10.00,11.00,3.42
211,William Buford,2012,28.49,76.00,77.00,81.50,102.00,32.50,134.50,27.50,129.50,215.00,11.30,8.75,10.00,11.40,3.43
212,C.J. McCollum,2013,10.00,74.25,75.25,78.25,96.50,38.50,135.00,32.00,128.50,197.00,8.60,8.00,9.50,11.02,3.32
213,Michael Carter-Williams,2013,11.00,76.75,77.75,79.25,101.00,41.00,142.00,31.50,132.50,184.00,4.40,7.50,8.50,10.68,3.22
214,Steven Adams,2013,12.00,82.75,84.00,88.50,109.50,33.00,142.50,28.50,138.00,255.00,6.70,9.50,11.00,11.85,3.40
215,Kelly Olynyk,2013,13.00,82.75,84.00,81.75,108.00,29.50,137.50,24.50,132.50,234.00,6.70,8.50,10.00,11.42,3.59
216,Shabazz Muhammad,2013,14.00,76.75,78.25,83.00,104.50,37.00,141.50,29.50,134.00,222.00,9.00,9.00,10.00,10.99,3.32
217,Dennis Schroeder,2013,17.00,73.00,74.00,79.75,98.00,34.00,132.00,30.00,128.00,165.00,4.10,8.75,10.50,11.09,3.21
218,Shane Larkin,2013,18.00,70.25,71.50,70.75,89.50,44.00,133.50,34.50,124.00,171.00,3.80,7.50,8.75,10.64,3.08
219,Victor Oladipo,2013,2.00,75.25,76.25,81.25,100.50,42.00,142.50,33.00,133.50,213.00,6.60,8.75,9.25,10.69,3.25
220,Tony Snell,2013,20.00,78.00,79.25,83.50,105.50,36.50,142.00,30.00,135.50,198.00,4.90,9.00,9.50,10.36,3.25
221,Gorgui Dieng,2013,21.00,81.75,82.75,87.50,111.50,35.50,138.17,29.58,132.62,230.00,5.40,9.00,10.00,11.33,3.30
222,Mason Plumlee,2013,22.00,83.25,84.50,83.00,108.00,36.00,144.00,30.50,138.50,238.00,6.20,9.75,9.50,10.89,3.29
223,Solomon Hill,2013,23.00,77.50,79.00,81.00,103.00,37.50,140.50,29.50,132.50,226.00,7.60,9.00,10.50,10.77,3.19
224,Tim Hardaway Jr,2013,24.00,76.50,78.25,79.00,101.00,37.50,138.50,31.50,132.50,199.00,6.10,8.00,9.25,10.68,3.25
225,Reggie Bullock,2013,25.00,77.75,79.00,80.75,102.00,36.50,138.50,31.00,133.00,200.00,7.00,8.50,9.00,11.33,3.31
226,Andre Roberson,2013,26.00,78.25,79.00,83.00,104.50,36.50,141.00,30.00,134.50,206.00,7.10,8.75,9.50,11.36,3.34
227,Rudy Gobert,2013,27.00,84.50,86.00,92.50,115.00,29.00,144.00,25.00,140.00,238.00,4.40,9.75,10.00,12.85,3.57
228,Archie Goodwin,2013,29.00,75.75,77.25,81.50,102.00,36.00,138.00,30.00,132.00,189.00,4.60,8.50,9.00,10.75,3.27
229,Otto Porter,2013,3.00,79.50,80.50,85.50,105.50,36.00,141.50,27.00,132.50,198.00,6.70,8.75,9.25,11.25,3.40
230,Allen Crabbe,2013,31.00,77.25,78.25,83.25,103.50,36.00,139.50,30.50,134.00,197.00,4.70,8.25,8.50,10.67,3.32
231,Carrick Felix,2013,33.00,76.75,78.25,81.25,103.50,38.50,142.00,32.00,135.50,203.00,3.30,8.50,9.50,11.16,3.25
232,Isaiah Canaan,2013,34.00,71.00,72.00,76.50,94.50,40.50,135.00,33.00,127.50,188.00,5.90,8.25,9.50,10.98,3.22
233,Glen Rice,2013,35.00,76.50,77.75,81.25,101.50,40.50,142.00,33.00,134.50,211.00,8.50,8.50,9.00,10.99,3.25
234,Ray McCallum,2013,36.00,72.25,73.75,75.25,96.50,40.00,136.50,30.50,127.00,191.00,7.30,8.00,8.75,10.82,3.25
235,Tony Mitchell,2013,37.00,79.50,80.75,86.50,106.50,38.00,144.50,33.50,140.00,236.00,5.60,9.00,10.00,11.82,3.52
236,Nate Wolters,2013,38.00,75.50,76.75,75.75,98.00,35.50,138.17,29.58,132.62,196.00,5.50,8.25,8.75,11.33,3.30
237,Jeff Withey,2013,39.00,82.75,84.50,86.00,110.50,29.00,139.50,26.50,137.00,222.00,8.70,9.00,9.75,12.49,3.47
238,Cody Zeller,2013,4.00,82.75,84.25,82.75,106.00,37.50,143.50,35.50,141.50,230.00,4.80,8.50,10.50,10.82,3.15
239,Grant Jerrett,2013,40.00,80.75,82.25,86.00,109.00,34.00,143.00,28.50,137.50,232.00,10.10,8.50,9.25,11.85,3.51
240,Jamaal Franklin,2013,41.00,76.00,77.25,83.25,103.50,35.50,138.17,29.58,132.62,191.00,8.30,8.50,8.25,11.33,3.30
241,Pierre Jackson,2013,42.00,69.50,70.50,70.00,90.00,35.50,138.17,29.58,132.62,176.00,4.50,7.50,8.25,11.33,3.30
242,Ricky Ledo,2013,43.00,76.75,78.00,79.25,102.50,33.50,136.00,27.00,129.50,197.00,10.30,8.50,9.25,10.72,3.32
243,Mike Muscala,2013,44.00,82.25,83.50,85.00,108.00,33.50,141.50,28.00,136.00,230.00,6.80,8.50,9.00,11.76,3.44
244,Erick Green,2013,46.00,73.50,75.00,77.75,98.00,35.50,138.17,29.58,132.62,178.00,4.40,8.50,9.00,11.33,3.30
245,Ryan Kelly,2013,48.00,81.75,83.75,83.50,110.00,35.50,138.17,29.58,132.62,228.00,14.80,9.00,10.00,11.33,3.30
246,Erik Murphy,2013,49.00,80.75,81.50,82.50,108.00,29.50,137.50,24.50,132.50,240.00,8.00,8.75,9.75,12.19,3.57
247,James Ennis,2013,50.00,77.75,79.00,83.50,104.50,36.50,141.00,29.50,134.00,201.00,4.50,8.50,8.75,11.55,3.40
248,Lorenzo Brown,2013,52.00,76.00,77.25,79.00,100.00,34.00,134.00,28.00,128.00,189.00,4.00,8.25,8.50,11.78,3.40
249,Colton Iverson,2013,53.00,82.50,84.00,86.00,110.00,35.50,138.17,29.58,132.62,263.00,9.60,9.25,9.50,11.33,3.30
250,Peyton Siva,2013,56.00,71.50,73.00,75.00,93.00,41.50,134.50,33.50,126.50,181.00,6.10,8.00,9.75,10.59,3.16
251,Deshaun Thomas,2013,58.00,77.00,79.00,82.00,104.00,32.00,136.00,28.50,132.50,220.00,9.10,8.00,8.75,12.94,3.53
252,Nerlens Noel,2013,6.00,82.00,83.75,87.75,110.00,35.50,138.17,29.58,132.62,206.00,4.20,9.50,10.00,11.33,3.30
253,Ben McLemore,2013,7.00,75.50,76.75,79.75,100.50,42.00,142.50,32.50,133.00,189.00,5.00,8.75,9.50,11.87,3.27
254,Kentavious Caldwell-Pope,2013,8.00,76.50,77.50,80.00,100.50,34.50,135.00,29.00,129.50,204.00,6.50,8.50,9.00,10.60,3.12
255,Trey Burke,2013,9.00,71.75,73.25,77.50,97.50,36.50,134.00,29.50,127.00,187.00,6.90,8.25,8.75,11.20,3.16
256,Adonis Thomas,2013,28.49,76.75,77.75,85.00,99.00,40.50,139.50,34.50,133.50,232.00,7.50,9.25,9.50,11.66,3.32
257,B.J. Young,2013,28.49,74.25,75.50,80.25,99.00,35.50,138.17,29.58,132.62,179.00,4.70,8.50,9.50,11.33,3.30
258,Brandon Davies,2013,28.49,80.50,82.25,85.50,108.50,31.50,140.00,26.00,134.50,242.00,8.60,9.00,11.00,11.22,3.50
259,Brandon Paul,2013,28.49,74.75,76.00,82.25,98.00,39.50,137.50,33.50,131.50,201.00,5.30,8.50,9.50,11.16,3.37
260,C.J. Leslie,2013,28.49,79.50,80.75,86.25,104.50,40.50,145.00,32.50,137.00,209.00,8.00,8.75,9.00,10.19,3.10
261,DeWayne Dedmon,2013,28.49,82.00,83.50,88.00,109.00,32.50,141.50,28.00,137.00,239.00,8.40,9.00,11.00,12.75,3.40
262,Jackie Carmichael,2013,28.49,79.50,81.00,85.50,107.00,32.00,139.00,30.00,137.00,241.00,5.80,9.00,10.25,11.83,3.35
263,James Southerland,2013,28.49,79.00,80.00,85.00,106.00,32.00,138.00,29.00,135.00,221.00,8.10,8.00,9.50,10.90,3.38
264,Kenny Kadji,2013,28.49,80.75,82.00,87.00,106.50,38.00,144.50,34.00,140.50,242.00,7.50,9.00,10.25,11.47,3.44
265,Myck Kabongo,2013,28.49,73.25,74.75,78.25,98.00,33.50,131.50,27.50,125.50,180.00,6.00,8.25,9.00,10.64,3.34
266,Norvel Pelle,2013,28.49,81.50,82.50,86.50,109.00,34.50,143.50,31.00,140.00,207.00,5.20,8.75,9.50,11.49,3.32
267,Phil Pressey,2013,28.49,69.50,71.50,74.25,92.00,38.50,130.50,33.00,125.00,177.00,4.70,7.75,9.75,10.86,3.13
268,Richard Howell,2013,28.49,78.25,79.50,82.25,105.50,35.50,138.17,29.58,132.62,250.00,8.80,8.75,9.50,11.33,3.30
269,Robert Covington,2013,28.49,78.25,79.50,85.75,106.00,36.00,142.00,29.50,135.50,209.00,4.70,9.00,8.50,11.69,3.34
270,Seth Curry,2013,28.49,73.00,75.00,76.00,97.50,35.50,138.17,29.58,132.62,179.00,9.60,8.00,8.25,11.33,3.30
271,Trevor Mbakwe,2013,28.49,78.75,80.00,88.00,106.50,36.50,143.00,30.00,136.50,236.00,5.90,9.50,11.50,12.01,3.32
272,Vander Blue,2013,28.49,75.50,77.25,78.00,100.50,37.50,138.00,28.00,128.50,197.00,4.60,8.50,9.50,10.40,3.14
273,Will Clyburn,2013,28.49,77.75,79.00,84.25,105.00,34.50,139.50,28.00,133.00,210.00,6.90,9.25,10.25,11.68,3.38
274,Elfrid Payton,2014,10.00,74.50,75.75,80.00,98.50,35.50,134.00,31.50,130.00,185.00,5.70,8.75,9.00,11.06,3.23
275,Doug McDermott,2014,11.00,78.25,79.75,81.25,103.00,36.50,139.50,28.50,131.50,218.00,7.10,8.75,9.75,11.10,3.29
276,Zach LaVine,2014,13.00,76.50,77.75,80.25,100.00,41.50,141.50,33.50,133.50,181.00,4.70,8.25,8.75,10.42,3.19
277,T.J. Warren,2014,14.00,79.00,80.25,82.25,104.00,35.50,139.50,27.00,131.00,220.00,8.00,8.75,9.00,11.10,3.26
278,Adreian Payne,2014,15.00,81.00,81.75,88.00,109.00,35.50,138.17,29.58,132.62,239.00,7.60,9.25,9.50,11.33,3.30
279,James Young,2014,17.00,77.25,78.75,84.00,104.00,35.50,139.50,28.00,132.00,213.00,5.10,9.00,9.50,11.33,3.30
280,Tyler Ennis,2014,18.00,73.00,74.50,79.25,98.00,36.00,134.00,29.00,127.00,182.00,6.20,8.25,8.75,11.12,3.30
281,Gary Harris,2014,19.00,74.50,76.50,78.75,96.00,35.50,138.17,29.58,132.62,205.00,4.60,8.50,9.50,11.33,3.30
282,Jordan Adams,2014,22.00,75.50,76.75,82.00,102.00,29.50,131.50,24.50,126.50,209.00,10.80,8.50,7.50,12.13,3.50
283,Rodney Hood,2014,23.00,79.25,80.50,80.50,103.00,36.00,139.00,29.00,132.00,208.00,7.50,8.50,8.50,11.21,3.38
284,Shabazz Napier,2014,24.00,71.00,73.00,75.25,93.00,37.50,130.50,30.50,123.50,175.00,7.40,8.25,8.50,11.60,3.20
285,P.J. Hairston,2014,26.00,76.25,77.25,81.00,101.00,37.00,138.00,32.00,133.00,229.00,8.20,8.75,9.75,11.12,3.32
286,C.J. Wilcox,2014,28.00,75.50,77.00,81.75,100.50,37.50,138.00,31.00,131.50,201.00,6.50,8.75,9.00,11.30,3.22
287,Kyle Anderson,2014,30.00,79.50,80.50,86.75,107.50,35.50,138.17,29.58,132.62,230.00,13.40,8.25,8.75,11.33,3.30
288,K.J. McDaniels,2014,32.00,76.50,78.00,83.25,102.00,37.00,139.00,33.00,135.00,196.00,4.50,8.75,9.75,12.71,3.10
289,Joe Harris,2014,33.00,76.75,78.25,78.00,100.00,33.50,133.50,28.50,128.50,215.00,6.20,8.50,9.75,11.11,3.31
290,Cleanthony Early,2014,34.00,78.00,79.25,82.75,101.50,40.00,141.50,34.00,135.50,209.00,4.50,8.50,9.00,11.15,3.18
291,Jarnell Stokes,2014,35.00,79.00,80.50,85.25,103.50,36.00,139.50,31.00,134.50,263.00,8.20,9.75,10.50,11.92,3.26
292,Johnny O'Bryant,2014,36.00,79.25,80.50,86.25,105.00,35.50,140.50,31.00,136.00,257.00,10.80,9.25,9.50,11.57,3.45
293,DeAndre Daniels,2014,37.00,79.25,80.50,86.00,106.50,32.00,138.50,26.50,133.00,196.00,3.90,9.25,10.50,11.46,3.44
294,Spencer Dinwiddie,2014,38.00,76.50,78.00,80.25,103.00,35.50,138.17,29.58,132.62,205.00,5.40,8.25,9.00,11.33,3.30
295,Jerami Grant,2014,39.00,78.50,79.75,86.75,107.00,35.50,138.17,29.58,132.62,214.00,3.80,9.25,9.25,11.33,3.30
296,Aaron Gordon,2014,4.00,79.50,80.75,83.75,105.00,39.00,144.00,32.50,137.50,220.00,5.10,8.75,10.50,10.81,3.27
297,Glenn Robinson,2014,40.00,77.50,78.75,82.00,100.50,41.50,142.00,36.50,137.00,211.00,5.10,9.00,9.50,11.22,3.15
298,Nick Johnson,2014,42.00,73.50,75.00,79.25,96.50,41.50,138.00,33.50,130.00,198.00,6.10,8.75,9.75,10.80,3.27
299,Markel Brown,2014,44.00,74.50,75.50,80.75,100.00,43.50,143.50,36.50,136.50,184.00,4.20,8.25,9.75,12.62,3.18
300,Dwight Powell,2014,45.00,81.50,83.00,84.50,105.00,35.00,140.00,28.50,133.50,234.00,6.20,9.00,9.25,11.28,3.20
301,Jordan Clarkson,2014,46.00,75.25,77.00,80.00,98.00,38.50,136.50,33.00,131.00,186.00,4.30,8.25,9.00,10.76,3.28
302,Russ Smith,2014,47.00,71.50,72.75,75.50,95.00,34.00,129.00,29.50,124.50,160.00,3.50,8.25,8.50,11.57,3.27
303,Lamar Patterson,2014,48.00,76.00,77.25,83.00,101.00,32.50,133.50,27.50,128.50,226.00,10.80,9.00,9.25,11.63,3.45
304,Cameron Bairstow,2014,49.00,80.75,81.75,84.75,107.00,33.50,140.50,31.00,138.00,252.00,8.70,8.75,9.00,11.39,3.37
305,Dante Exum,2014,5.00,76.50,78.00,81.50,103.00,34.50,137.50,31.50,134.50,196.00,6.40,8.50,9.50,10.75,3.19
306,Alec Brown,2014,50.00,84.25,85.25,85.50,109.00,30.00,139.00,27.00,136.00,231.00,7.70,9.25,8.75,12.05,3.48
307,Thanasis Antetokounmpo,2014,51.00,77.25,78.25,84.00,104.50,39.50,144.00,31.50,136.00,205.00,6.10,9.00,9.75,11.39,3.18
308,Semaj Christon,2014,55.00,73.50,75.25,78.50,99.00,36.50,135.50,30.50,129.50,186.00,5.30,8.50,8.25,11.55,3.32
309,Devyn Marble,2014,56.00,77.00,78.50,81.00,102.00,35.00,137.00,29.00,131.00,192.00,6.90,8.25,8.50,11.32,3.28
310,Jordan McRae,2014,58.00,75.75,77.25,84.50,104.00,34.50,138.50,27.50,131.50,179.00,5.20,8.75,8.50,11.07,3.39
311,Xavier Thames,2014,59.00,74.25,75.50,76.00,96.00,32.50,128.50,29.00,125.00,187.00,6.40,8.25,9.00,11.48,3.48
312,Marcus Smart,2014,6.00,74.00,75.25,81.25,99.00,36.00,135.00,33.00,132.00,227.00,10.60,9.00,8.75,10.82,3.26
313,Cory Jefferson,2014,60.00,79.75,81.00,84.50,105.00,37.50,142.50,33.00,138.00,218.00,5.30,8.75,9.75,12.63,3.36
314,Julius Randle,2014,7.00,79.75,81.00,84.00,105.50,35.50,141.00,29.00,134.50,250.00,9.40,8.75,8.25,11.45,3.27
315,Nik Stauskas,2014,8.00,77.25,78.50,79.75,102.00,35.50,137.50,29.00,131.00,207.00,12.10,8.50,8.50,10.79,3.27
316,Noah Vonleh,2014,9.00,80.00,81.50,88.25,108.00,37.00,145.00,31.00,139.00,247.00,7.30,9.75,11.75,11.45,3.28
317,Aaron Craft,2014,28.49,72.75,73.75,74.00,94.50,32.00,126.50,29.00,123.50,192.00,6.10,7.75,8.50,10.78,3.26
318,Alex Kirk,2014,28.49,81.25,82.75,87.50,109.50,31.50,141.00,28.50,138.00,252.00,13.60,9.25,10.50,11.20,3.48
319,C.J. Fair,2014,28.49,78.50,80.00,81.50,104.00,35.00,139.00,27.00,131.00,218.00,5.10,9.00,9.00,11.00,3.32
320,DeAndre Kane,2014,28.49,74.75,76.50,80.00,99.00,35.50,134.50,31.50,130.50,200.00,5.00,8.25,9.00,10.95,3.16
321,Deonte Burton,2014,28.49,72.00,73.25,79.00,97.50,39.50,137.00,29.00,126.50,193.00,7.70,8.25,8.00,11.28,3.28
322,Isaiah Austin,2014,28.49,83.50,84.50,88.50,112.50,29.50,142.00,26.50,139.00,220.00,7.50,8.75,8.75,11.00,3.55
323,Jabari Brown,2014,28.49,75.00,76.25,80.25,100.00,32.00,132.00,28.00,128.00,202.00,6.10,9.00,9.25,11.60,3.50
324,Jahii Carson,2014,28.49,69.75,71.00,74.00,93.00,43.50,136.50,33.50,126.50,180.00,6.50,7.50,8.75,11.26,3.24
325,James McAdoo,2014,28.49,79.50,80.75,86.25,106.50,34.00,140.50,29.50,136.00,228.00,6.20,9.25,9.00,11.61,3.28
326,Jordan Bachynski,2014,28.49,85.25,86.00,88.00,108.50,33.00,141.50,29.00,137.50,254.00,7.50,9.25,10.00,12.15,3.36
327,Kendall Williams,2014,28.49,74.25,75.75,77.50,99.00,33.00,132.00,27.00,126.00,183.00,7.20,8.00,7.75,10.83,3.30
328,Khem Birch,2014,28.49,79.50,81.25,85.00,107.00,35.50,142.50,30.50,137.50,209.00,6.00,9.00,8.50,11.60,3.26
329,LaQuinton Ross,2014,28.49,78.50,79.50,85.75,106.00,31.00,137.00,25.00,131.00,239.00,16.30,8.75,9.75,11.97,3.44
330,Melvin Ejim,2014,28.49,77.25,79.00,83.25,103.50,35.00,138.50,29.50,133.00,219.00,6.50,8.75,9.25,11.55,3.14
331,Patric Young,2014,28.49,80.50,82.00,85.75,103.50,37.50,141.00,32.00,135.50,247.00,5.50,9.25,9.50,11.18,3.43
332,Sean Kilpatrick,2014,28.49,74.50,76.25,79.00,99.00,35.50,138.17,29.58,132.62,219.00,9.20,9.00,9.00,11.33,3.30
333,Justise Winslow,2015,10.00,76.50,78.50,82.25,104.50,35.50,138.17,29.58,132.62,222.00,5.30,8.50,9.25,11.33,3.30
334,Myles Turner,2015,11.00,81.75,83.50,88.00,112.00,35.50,138.17,29.58,132.62,239.00,9.30,9.25,9.25,11.33,3.30
335,Trey Lyles,2015,12.00,81.00,82.25,85.50,108.00,35.50,138.17,29.58,132.62,241.00,12.10,9.25,10.25,11.33,3.30
336,Devin Booker,2015,13.00,76.50,77.75,80.25,102.50,34.50,137.00,27.50,130.00,206.00,8.30,8.75,9.00,10.22,3.28
337,Cameron Payne,2015,14.00,72.75,73.50,79.25,97.50,35.50,133.00,30.00,127.50,183.00,6.30,8.50,8.25,10.89,3.28
338,Kelly Oubre,2015,15.00,77.75,78.75,86.25,102.50,37.00,139.50,34.50,137.00,203.00,5.70,9.00,8.75,11.10,3.32
339,Terry Rozier,2015,16.00,72.75,74.25,80.25,98.50,38.00,136.50,33.00,131.50,190.00,5.60,8.25,8.75,10.88,3.15
340,Rashad Vaughn,2015,17.00,75.75,77.00,79.00,101.00,34.00,135.00,28.00,129.00,199.00,6.20,8.00,8.50,11.41,3.21
341,Sam Dekker,2015,18.00,79.75,81.00,83.50,106.00,34.50,140.50,25.50,131.50,219.00,7.50,8.50,9.25,10.71,3.28
342,Jerian Grant,2015,19.00,75.25,76.25,79.50,100.00,35.50,138.17,29.58,132.62,198.00,5.60,8.25,8.50,11.33,3.30
343,D'Angelo Russell,2015,2.00,75.25,77.00,81.75,102.00,35.50,138.17,29.58,132.62,193.00,8.30,8.75,9.75,11.33,3.30
344,Delon Wright,2015,20.00,76.25,77.50,79.50,101.50,31.00,132.50,29.50,131.00,181.00,6.60,8.00,8.50,11.21,3.29
345,Justin Anderson,2015,21.00,77.25,78.25,83.75,101.00,43.00,144.00,38.00,139.00,231.00,5.00,8.50,9.50,11.10,3.22
346,Bobby Portis,2015,22.00,81.50,82.50,86.00,108.50,31.50,140.00,25.00,133.50,246.00,8.90,9.50,9.25,11.71,3.56
347,Rondae Hollis-Jefferson,2015,23.00,77.50,79.00,86.00,104.00,38.00,142.00,32.00,136.00,211.00,5.00,8.75,9.75,10.51,3.12
348,Tyus Jones,2015,24.00,72.25,74.00,77.00,97.00,32.50,129.50,26.50,123.50,185.00,6.50,8.25,8.75,11.89,3.32
349,Jarell Martin,2015,25.00,80.00,81.25,81.75,106.50,34.50,141.00,28.50,135.00,239.00,10.10,8.25,9.50,11.12,3.27
350,Larry Nance,2015,27.00,79.50,80.50,85.50,108.00,37.50,145.50,29.00,137.00,227.00,6.40,9.00,9.75,10.89,3.25
351,R.J. Hunter,2015,28.00,76.50,78.00,82.50,104.00,33.50,137.50,27.50,131.50,185.00,6.00,8.50,8.25,10.97,3.26
352,Chris McCullough,2015,29.00,80.25,81.00,87.25,109.00,35.50,138.17,29.58,132.62,199.00,6.20,8.75,8.75,11.33,3.30
353,Kevon Looney,2015,30.00,80.00,81.25,87.50,110.00,35.50,138.17,29.58,132.62,222.00,11.90,9.50,9.25,11.33,3.30
354,Montrezl Harrell,2015,32.00,79.00,79.50,88.25,109.00,35.50,138.17,29.58,132.62,253.00,11.90,9.00,9.75,11.33,3.30
355,Jordan Mickey,2015,33.00,79.00,80.25,87.25,106.00,37.50,143.50,33.00,139.00,238.00,7.20,8.75,9.50,11.80,3.28
356,Anthony Brown,2015,34.00,77.25,80.50,83.25,104.50,34.50,139.00,27.50,132.00,211.00,6.10,8.50,9.00,11.06,3.18
357,Rakeem Christmas,2015,36.00,80.25,81.75,89.25,110.50,35.50,138.17,29.00,139.50,243.00,9.60,9.25,9.50,11.57,3.47
358,Richaun Holmes,2015,37.00,80.25,81.50,85.50,108.00,36.00,144.00,32.50,140.50,243.00,8.80,8.50,8.50,11.37,3.32
359,Pat Connaughton,2015,41.00,76.00,77.25,80.75,96.00,44.00,140.00,37.50,133.50,215.00,10.20,8.50,9.25,10.74,3.20
360,Olivier Hanlan,2015,42.00,75.25,76.25,78.50,100.00,34.00,134.00,28.00,128.00,186.00,4.30,8.00,8.75,11.36,3.25
361,Joseph Young,2015,43.00,72.75,74.00,77.00,94.50,40.50,135.00,34.50,129.00,182.00,4.10,8.25,7.50,10.74,3.25
362,Andrew Harrison,2015,44.00,76.50,77.50,81.00,100.00,33.00,133.00,26.50,126.50,213.00,5.90,8.25,9.25,11.16,3.34
363,Marcus Thornton,2015,45.00,73.75,74.75,79.75,97.50,43.00,140.50,34.50,132.00,177.00,5.30,8.25,8.50,10.96,3.02
364,Norman Powell,2015,46.00,75.00,76.25,82.75,102.50,40.50,143.00,32.50,135.00,215.00,6.40,9.25,9.00,10.76,3.20
365,Dakari Johnson,2015,48.00,83.00,83.75,86.00,112.00,25.00,137.00,22.50,134.50,265.00,14.90,9.25,10.50,11.50,3.62
366,Aaron White,2015,49.00,79.75,80.75,83.50,106.50,35.00,141.50,30.00,136.50,220.00,8.00,8.25,9.25,11.62,3.38
367,Tyler Harvey,2015,51.00,74.75,76.00,77.50,98.50,28.50,127.00,26.00,124.50,181.00,9.20,7.75,8.75,10.52,3.44
368,Branden Dawson,2015,56.00,77.50,78.75,83.00,105.00,34.50,139.50,28.50,133.50,230.00,5.80,9.00,8.75,12.37,3.20
