Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
42,Jordan Hill,2009,8.00,81.25,82.25,85.50,108.00,35.00,143.00,31.00,139.00,232.00,6.00,8.50,9.50,12.23,3.30
43,Demar DeRozan,2009,9.00,77.50,78.50,81.00,102.50,38.50,141.00,29.00,131.50,211.00,4.90,8.50,9.50,11.88,3.31
44,Dionte Christmas,2009,28.49,76.25,77.50,81.00,102.50,33.50,136.00,27.00,129.50,211.00,7.10,8.50,9.50,10.83,3.21
45,Jeff Adrien,2009,28.49,77.25,78.50,86.00,107.50,31.50,139.00,27.50,135.00,236.00,7.90,8.50,9.50,11.34,3.32
46,Jerel McNeal,2009,28.49,73.50,75.00,79.25,99.50,36.50,136.00,31.50,131.00,190.00,5.40,8.50,9.50,10.61,3.25
47,Joe Ingles,2009,28.49,79.75,80.25,82.25,105.00,31.00,136.00,26.00,131.00,209.00,10.10,8.50,9.50,10.66,3.30
48,Josh Heytvelt,2009,28.49,82.00,83.00,85.25,108.00,34.00,142.00,28.50,136.50,246.00,10.80,8.50,9.50,11.67,3.38
49,Tyler Smith,2009,28.49,77.25,78.00,81.75,104.50,33.50,138.00,29.00,133.50,212.00,7.00,8.50,9.50,10.69,3.24
50,John Wall,2010,1.00,74.75,76.00,81.25,101.50,39.00,140.50,30.00,131.50,196.00,5.60,8.25,9.50,10.84,3.14
51,Paul George,2010,10.00,79.75,80.75,83.25,107.00,35.50,138.17,29.58,132.62,214.00,5.00,8.50,9.00,11.33,3.30
52,Cole Aldrich,2010,11.00,81.00,83.25,88.75,111.50,28.00,139.50,23.00,134.50,236.00,8.50,9.00,9.25,11.48,3.35
53,Xavier Henry,2010,12.00,77.25,78.50,83.25,105.00,36.50,141.50,28.50,133.50,210.00,4.70,8.75,10.00,11.10,3.18
54,Ed Davis,2010,13.00,81.00,81.75,84.00,108.00,36.00,144.00,31.00,139.00,227.00,10.00,9.25,10.00,11.70,3.21
55,Patrick Patterson,2010,14.00,80.00,81.25,85.25,107.00,33.50,140.50,28.50,135.50,240.00,5.30,9.25,10.25,11.14,3.25
56,Larry Sanders,2010,15.00,81.25,82.50,89.75,112.00,28.00,140.00,25.50,137.50,222.00,4.60,9.75,11.00,12.49,3.27
57,Luke Babbitt,2010,16.00,79.50,80.75,83.25,104.50,37.50,142.00,29.50,134.00,218.00,5.60,8.50,10.00,10.98,3.40
58,Eric Bledsoe,2010,18.00,72.25,73.50,79.50,98.00,35.50,138.17,29.58,132.62,192.00,5.60,8.50,9.75,11.33,3.30
59,Avery Bradley,2010,19.00,74.00,75.25,79.25,98.50,37.50,136.00,31.50,130.00,180.00,4.00,8.25,9.50,11.47,3.14
60,Evan Turner,2010,2.00,77.75,79.00,80.00,103.50,34.50,138.00,27.50,131.00,214.00,8.60,8.75,9.50,11.06,3.27
61,James Anderson,2010,20.00,76.75,77.75,80.50,104.00,35.50,139.50,30.00,134.00,208.00,7.90,9.00,7.00,11.86,3.19
62,Craig Brackins,2010,21.00,80.50,81.75,84.00,109.00,35.00,144.00,26.00,135.00,229.00,7.90,9.50,11.25,11.65,3.39
63,Trevor Booker,2010,23.00,78.25,79.50,81.75,106.00,36.00,142.00,31.00,137.00,236.00,7.30,9.00,9.50,11.15,3.10
64,Dominique Jones,2010,25.00,75.25,77.00,81.25,101.00,32.50,133.50,26.00,127.00,216.00,5.90,9.00,10.25,10.88,3.31
65,Jordan Crawford,2010,27.00,75.00,76.50,79.00,101.00,34.50,135.50,31.50,132.50,198.00,4.90,8.00,9.00,11.03,3.37
66,Daniel Orton,2010,29.00,80.75,81.50,88.25,110.50,30.50,141.00,24.00,134.50,269.00,13.80,8.50,9.75,12.32,3.39
67,Derrick Favors,2010,3.00,80.75,82.25,88.00,110.00,35.50,145.50,31.50,141.50,245.00,6.50,8.75,9.25,11.74,3.25
68,Lazar Hayward,2010,30.00,76.50,77.75,84.75,102.00,36.00,138.00,31.00,133.00,226.00,7.50,9.25,9.50,10.87,3.31
69,Dexter Pittman,2010,32.00,81.50,83.50,90.00,111.00,35.50,138.17,29.58,132.62,303.00,20.80,10.25,10.50,11.33,3.30
70,Hassan Whiteside,2010,33.00,82.50,83.50,91.00,113.00,31.50,144.50,27.00,140.00,227.00,5.50,8.25,10.25,11.83,3.54
71,Armon Johnson,2010,34.00,74.00,75.25,80.00,99.50,38.50,138.00,31.50,131.00,195.00,5.60,8.25,9.25,11.25,3.19
72,Terrico White,2010,36.00,75.75,77.00,81.00,101.00,40.00,141.00,31.00,132.00,203.00,3.70,9.00,10.50,11.38,3.15
73,Darington Hobson,2010,37.00,77.25,78.50,81.25,104.50,34.00,138.50,29.00,133.50,204.00,6.20,8.25,9.00,11.68,3.25
74,Andy Rautins,2010,38.00,76.25,77.00,79.00,100.00,30.50,130.50,23.50,123.50,192.00,6.20,8.00,9.75,11.27,3.49
75,Wesley Johnson,2010,4.00,78.25,79.25,85.00,106.00,37.00,143.00,32.00,138.00,206.00,4.60,9.00,9.50,11.43,3.14
76,Lance Stephenson,2010,40.00,76.50,77.75,82.50,103.00,33.00,136.00,27.00,130.00,227.00,9.30,9.00,10.25,11.39,3.38
77,Jarvis Varnado,2010,41.00,80.25,82.00,87.50,109.50,32.50,142.00,29.50,139.00,210.00,9.50,9.25,9.50,11.61,3.37
78,Devin Ebanks,2010,43.00,79.00,80.25,84.25,107.50,32.00,139.50,23.50,131.00,208.00,7.90,8.25,9.00,11.69,3.44
79,Jerome Jordan,2010,44.00,83.50,84.75,89.25,113.00,35.50,138.17,29.58,132.62,244.00,6.90,9.00,10.25,11.33,3.30
80,Tiny Gallon,2010,47.00,80.50,81.50,88.50,109.50,28.50,138.00,23.50,133.00,302.00,15.10,9.25,10.50,13.44,3.70
81,Ryan Richards,2010,49.00,82.50,83.75,85.50,110.00,28.50,138.50,25.00,135.00,230.00,8.00,9.00,9.75,11.33,3.37
82,DeMarcus Cousins,2010,5.00,81.50,82.75,89.75,113.00,27.50,140.50,23.50,136.50,292.00,16.40,9.25,10.00,11.40,3.55
83,Solomon Alabi,2010,50.00,83.50,84.75,89.00,113.00,26.00,139.00,22.50,135.50,237.00,5.00,9.25,9.25,13.20,3.68
84,Willie Warren,2010,54.00,74.50,75.75,78.00,99.50,31.50,131.00,23.00,122.50,208.00,7.60,8.50,9.50,11.21,3.50
85,Derrick Caracter,2010,58.00,80.25,81.50,84.25,107.25,30.50,137.75,25.00,132.25,280.00,12.80,9.00,10.25,12.78,3.61
86,Stanley Robinson,2010,59.00,78.50,79.75,84.00,107.50,37.50,145.00,29.58,132.62,213.00,8.30,9.00,9.00,11.65,3.23
87,Ekpe Udoh,2010,6.00,80.75,81.75,88.50,106.50,33.50,140.00,31.00,137.50,237.00,8.00,9.50,8.75,11.15,3.29
88,Greg Monroe,2010,7.00,81.75,83.00,86.25,108.50,29.00,137.50,25.00,133.50,247.00,11.20,8.75,9.50,12.10,3.35
89,Al-Farouq Aminu,2010,8.00,79.25,80.50,87.25,108.50,33.50,142.00,27.00,135.50,216.00,8.20,9.50,9.50,11.29,3.30
90,Gordon Hayward,2010,9.00,78.75,80.00,79.75,103.00,34.50,137.50,30.50,133.50,211.00,6.90,8.50,9.25,11.73,3.22
